candidate,is_prime,divisor,remainder,divisible,P_A,P_D,P_0,agreement_density,disagreement_density,zero_density
4294967821,1,17,16,0,1,5,58,0.015625,0.078125,0.90625
4294967821,1,19,18,0,1,6,57,0.015625,0.09375,0.890625
4294967821,1,23,8,0,2,5,57,0.03125,0.078125,0.890625
4294967821,1,29,19,0,3,3,58,0.046875,0.046875,0.90625
4294967821,1,31,2,0,3,4,57,0.046875,0.0625,0.890625
4294967857,1,3,1,0,1,5,58,0.015625,0.078125,0.90625
4294967857,1,5,2,0,1,5,58,0.015625,0.078125,0.90625
4294967857,1,7,5,0,1,6,57,0.015625,0.09375,0.890625
4294967857,1,11,4,0,1,6,57,0.015625,0.09375,0.890625
4294967857,1,13,11,0,1,6,57,0.015625,0.09375,0.890625
4294967857,1,17,1,0,2,3,59,0.03125,0.046875,0.921875
4294967857,1,19,16,0,2,4,58,0.03125,0.0625,0.90625
4294967857,1,23,21,0,2,5,57,0.03125,0.078125,0.890625
