step,module_i,module_j,A,B,R_A,R_D,T,coordinate,seen_count_after,is_reuse
9,2,6,22,121,16,111,99,"(16, 111, 99)",5,True
9,2,7,22,121,16,111,99,"(16, 111, 99)",6,True
9,3,4,22,81,16,71,59,"(16, 71, 59)",7,True
9,3,5,22,81,16,71,59,"(16, 71, 59)",8,True
9,3,6,22,121,16,111,99,"(16, 111, 99)",7,True
9,3,7,22,121,16,111,99,"(16, 111, 99)",8,True
9,4,5,81,81,81,0,0,"(81, 0, 0)",2,True
9,4,6,81,121,81,40,40,"(81, 40, 40)",5,True
9,4,7,81,121,81,40,40,"(81, 40, 40)",6,True
9,5,6,81,121,81,40,40,"(81, 40, 40)",7,True
9,5,7,81,121,81,40,40,"(81, 40, 40)",8,True
9,6,7,121,121,121,0,0,"(121, 0, 0)",2,True
10,0,1,21,21,21,0,0,"(21, 0, 0)",11,True
10,0,2,21,22,20,3,1,"(20, 3, 1)",9,True
10,0,3,21,22,20,3,1,"(20, 3, 1)",10,True
10,0,4,21,81,17,68,60,"(17, 68, 60)",9,True
10,0,5,21,81,17,68,60,"(17, 68, 60)",10,True
10,0,6,21,121,17,108,100,"(17, 108, 100)",9,True
10,0,7,21,121,17,108,100,"(17, 108, 100)",10,True
10,1,2,21,22,20,3,1,"(20, 3, 1)",11,True
10,1,3,21,22,20,3,1,"(20, 3, 1)",12,True
10,1,4,21,81,17,68,60,"(17, 68, 60)",11,True
10,1,5,21,81,17,68,60,"(17, 68, 60)",12,True
10,1,6,21,121,17,108,100,"(17, 108, 100)",11,True
10,1,7,21,121,17,108,100,"(17, 108, 100)",12,True
10,2,3,22,22,22,0,0,"(22, 0, 0)",3,True
10,2,4,22,81,16,71,59,"(16, 71, 59)",9,True
10,2,5,22,81,16,71,59,"(16, 71, 59)",10,True
10,2,6,22,121,16,111,99,"(16, 111, 99)",9,True
10,2,7,22,121,16,111,99,"(16, 111, 99)",10,True
10,3,4,22,81,16,71,59,"(16, 71, 59)",11,True
10,3,5,22,81,16,71,59,"(16, 71, 59)",12,True
10,3,6,22,121,16,111,99,"(16, 111, 99)",11,True
10,3,7,22,121,16,111,99,"(16, 111, 99)",12,True
10,4,5,81,81,81,0,0,"(81, 0, 0)",3,True
10,4,6,81,121,81,40,40,"(81, 40, 40)",9,True
10,4,7,81,121,81,40,40,"(81, 40, 40)",10,True
10,5,6,81,121,81,40,40,"(81, 40, 40)",11,True
10,5,7,81,121,81,40,40,"(81, 40, 40)",12,True
10,6,7,121,121,121,0,0,"(121, 0, 0)",3,True
11,0,1,21,21,21,0,0,"(21, 0, 0)",12,True
11,0,2,21,22,20,3,1,"(20, 3, 1)",13,True
11,0,3,21,22,20,3,1,"(20, 3, 1)",14,True
11,0,4,21,81,17,68,60,"(17, 68, 60)",13,True
11,0,5,21,81,17,68,60,"(17, 68, 60)",14,True
11,0,6,21,121,17,108,100,"(17, 108, 100)",13,True
11,0,7,21,121,17,108,100,"(17, 108, 100)",14,True
11,1,2,21,22,20,3,1,"(20, 3, 1)",15,True
11,1,3,21,22,20,3,1,"(20, 3, 1)",16,True
11,1,4,21,81,17,68,60,"(17, 68, 60)",15,True
11,1,5,21,81,17,68,60,"(17, 68, 60)",16,True
11,1,6,21,121,17,108,100,"(17, 108, 100)",15,True
11,1,7,21,121,17,108,100,"(17, 108, 100)",16,True
11,2,3,22,22,22,0,0,"(22, 0, 0)",4,True
11,2,4,22,81,16,71,59,"(16, 71, 59)",13,True
11,2,5,22,81,16,71,59,"(16, 71, 59)",14,True
11,2,6,22,121,16,111,99,"(16, 111, 99)",13,True
11,2,7,22,121,16,111,99,"(16, 111, 99)",14,True
11,3,4,22,81,16,71,59,"(16, 71, 59)",15,True
11,3,5,22,81,16,71,59,"(16, 71, 59)",16,True
11,3,6,22,121,16,111,99,"(16, 111, 99)",15,True
11,3,7,22,121,16,111,99,"(16, 111, 99)",16,True
11,4,5,81,81,81,0,0,"(81, 0, 0)",4,True
11,4,6,81,121,81,40,40,"(81, 40, 40)",13,True
11,4,7,81,121,81,40,40,"(81, 40, 40)",14,True
11,5,6,81,121,81,40,40,"(81, 40, 40)",15,True
11,5,7,81,121,81,40,40,"(81, 40, 40)",16,True
11,6,7,121,121,121,0,0,"(121, 0, 0)",4,True
12,0,1,21,21,21,0,0,"(21, 0, 0)",13,True
12,0,2,21,22,20,3,1,"(20, 3, 1)",17,True
12,0,3,21,22,20,3,1,"(20, 3, 1)",18,True
12,0,4,21,81,17,68,60,"(17, 68, 60)",17,True
12,0,5,21,81,17,68,60,"(17, 68, 60)",18,True
12,0,6,21,121,17,108,100,"(17, 108, 100)",17,True
12,0,7,21,121,17,108,100,"(17, 108, 100)",18,True
12,1,2,21,22,20,3,1,"(20, 3, 1)",19,True
12,1,3,21,22,20,3,1,"(20, 3, 1)",20,True
12,1,4,21,81,17,68,60,"(17, 68, 60)",19,True
12,1,5,21,81,17,68,60,"(17, 68, 60)",20,True
12,1,6,21,121,17,108,100,"(17, 108, 100)",19,True
12,1,7,21,121,17,108,100,"(17, 108, 100)",20,True
12,2,3,22,22,22,0,0,"(22, 0, 0)",5,True
12,2,4,22,81,16,71,59,"(16, 71, 59)",17,True
12,2,5,22,81,16,71,59,"(16, 71, 59)",18,True
12,2,6,22,121,16,111,99,"(16, 111, 99)",17,True
12,2,7,22,121,16,111,99,"(16, 111, 99)",18,True
12,3,4,22,81,16,71,59,"(16, 71, 59)",19,True
12,3,5,22,81,16,71,59,"(16, 71, 59)",20,True
12,3,6,22,121,16,111,99,"(16, 111, 99)",19,True
12,3,7,22,121,16,111,99,"(16, 111, 99)",20,True
12,4,5,81,81,81,0,0,"(81, 0, 0)",5,True
12,4,6,81,121,81,40,40,"(81, 40, 40)",17,True
12,4,7,81,121,81,40,40,"(81, 40, 40)",18,True
12,5,6,81,121,81,40,40,"(81, 40, 40)",19,True
12,5,7,81,121,81,40,40,"(81, 40, 40)",20,True
12,6,7,121,121,121,0,0,"(121, 0, 0)",5,True
13,0,1,21,21,21,0,0,"(21, 0, 0)",14,True
13,0,2,21,22,20,3,1,"(20, 3, 1)",21,True
13,0,3,21,22,20,3,1,"(20, 3, 1)",22,True
13,0,4,21,81,17,68,60,"(17, 68, 60)",21,True
13,0,5,21,81,17,68,60,"(17, 68, 60)",22,True
13,0,6,21,121,17,108,100,"(17, 108, 100)",21,True
13,0,7,21,121,17,108,100,"(17, 108, 100)",22,True
13,1,2,21,22,20,3,1,"(20, 3, 1)",23,True
13,1,3,21,22,20,3,1,"(20, 3, 1)",24,True
13,1,4,21,81,17,68,60,"(17, 68, 60)",23,True
13,1,5,21,81,17,68,60,"(17, 68, 60)",24,True
13,1,6,21,121,17,108,100,"(17, 108, 100)",23,True
13,1,7,21,121,17,108,100,"(17, 108, 100)",24,True
13,2,3,22,22,22,0,0,"(22, 0, 0)",6,True
13,2,4,22,81,16,71,59,"(16, 71, 59)",21,True
13,2,5,22,81,16,71,59,"(16, 71, 59)",22,True
13,2,6,22,121,16,111,99,"(16, 111, 99)",21,True
13,2,7,22,121,16,111,99,"(16, 111, 99)",22,True
13,3,4,22,81,16,71,59,"(16, 71, 59)",23,True
13,3,5,22,81,16,71,59,"(16, 71, 59)",24,True
13,3,6,22,121,16,111,99,"(16, 111, 99)",23,True
13,3,7,22,121,16,111,99,"(16, 111, 99)",24,True
13,4,5,81,81,81,0,0,"(81, 0, 0)",6,True
13,4,6,81,121,81,40,40,"(81, 40, 40)",21,True
13,4,7,81,121,81,40,40,"(81, 40, 40)",22,True
13,5,6,81,121,81,40,40,"(81, 40, 40)",23,True
13,5,7,81,121,81,40,40,"(81, 40, 40)",24,True
13,6,7,121,121,121,0,0,"(121, 0, 0)",6,True
14,0,1,21,21,21,0,0,"(21, 0, 0)",15,True
14,0,2,21,22,20,3,1,"(20, 3, 1)",25,True
14,0,3,21,22,20,3,1,"(20, 3, 1)",26,True
14,0,4,21,81,17,68,60,"(17, 68, 60)",25,True
14,0,5,21,81,17,68,60,"(17, 68, 60)",26,True
14,0,6,21,121,17,108,100,"(17, 108, 100)",25,True
14,0,7,21,121,17,108,100,"(17, 108, 100)",26,True
14,1,2,21,22,20,3,1,"(20, 3, 1)",27,True
14,1,3,21,22,20,3,1,"(20, 3, 1)",28,True
14,1,4,21,81,17,68,60,"(17, 68, 60)",27,True
14,1,5,21,81,17,68,60,"(17, 68, 60)",28,True
14,1,6,21,121,17,108,100,"(17, 108, 100)",27,True
